row ID,row m/z,row retention time,Beer_multibeers_2_T10_POS.mzML filtered Peak RT start,Beer_multibeers_2_T10_POS.mzML filtered Peak RT end,Beer_multibeers_2_T10_POS.mzML filtered Peak m/z min,Beer_multibeers_2_T10_POS.mzML filtered Peak m/z max,
17,104.10697174072266,0.54914,0.5018833333333333,0.9978516666666667,104.10694885253906,104.10698699951172,
45,126.05496215820312,0.5389533333333334,0.5018833333333333,0.9978516666666667,126.054931640625,126.05498504638672,
250,338.341552734375,0.6964450000000001,0.5018833333333333,0.9978516666666667,338.3414611816406,338.34161376953125,
35,118.08624267578125,0.6964450000000001,0.5018833333333333,0.9978516666666667,118.08621978759766,118.08627319335938,
69,144.06556701660156,0.587635,0.5018833333333333,0.9978516666666667,144.06553649902344,144.0655975341797,
219,274.2738342285156,0.7807083333333333,0.5018833333333333,0.9978516666666667,274.27374267578125,274.2738952636719,
44,125.07097625732422,0.530945,0.5018833333333333,0.9978516666666667,125.07093811035156,125.07099914550781,
91,158.12881469726562,0.9925083333333333,0.5018833333333333,0.9978516666666667,158.12876892089844,158.12884521484375,
99,163.1328582763672,0.50634,0.5018833333333333,0.9978516666666667,163.1328125,163.13290405273438,
58,136.1121368408203,0.6579433333333333,0.5018833333333333,0.9978516666666667,136.1121063232422,136.11216735839844,
47,127.05829620361328,0.6964450000000001,0.5018833333333333,0.9978516666666667,127.05826568603516,127.05833435058594,
267,391.2840270996094,0.5571116666666666,0.5018833333333333,0.9978516666666667,391.28375244140625,391.28424072265625,
16,102.12773132324219,0.9709233333333334,0.5018833333333333,0.9978516666666667,102.1277084350586,102.12776184082031,
31,114.09137725830078,0.9856883333333334,0.5018833333333333,0.9978516666666667,114.09133911132812,114.09140014648438,
196,244.1906280517578,0.9555733333333334,0.5018833333333333,0.9978516666666667,244.19053649902344,244.1907196044922,
2,86.09640502929688,0.9614066666666666,0.5018833333333333,0.9978516666666667,86.09636688232422,86.096435546875,
46,127.0389633178711,0.587635,0.5018833333333333,0.9978516666666667,127.0389175415039,127.03900146484375,
84,154.1136932373047,0.9925083333333333,0.5018833333333333,0.9978516666666667,154.1136474609375,154.11390686035156,
122,181.1334991455078,0.9614066666666666,0.5018833333333333,0.9978516666666667,181.13343811035156,181.13360595703125,
82,152.15658569335938,0.9812316666666666,0.5018833333333333,0.9978516666666667,152.15484619140625,152.15826416015625,
113,173.09213256835938,0.8977316666666667,0.5018833333333333,0.9978516666666667,173.09202575683594,173.09219360351562,
12,100.07566833496094,0.5133433333333334,0.5018833333333333,0.9978516666666667,100.07563781738281,100.07569885253906,
