row ID,row m/z,row retention time,Beer_multibeers_19_T10_POS.mzML filtered Peak area,
90,152.10693359375,0.9827283333333334,4.587256138066E8,
73,144.98211669921875,0.7953366666666667,1.58010294947925E8,
83,146.98028564453125,0.7953366666666667,7.032014625083752E7,
166,207.15908813476562,0.7953366666666667,6.407679192168747E7,
127,177.10220336914062,0.5238216666666667,3.617708999607499E7,
45,128.95343017578125,0.9474166666666667,3.4415430603893735E7,
47,131.1291046142578,0.9474166666666667,2.8295994920337502E7,
55,136.11207580566406,0.5238216666666667,2.6855223673953123E7,
72,144.92742919921875,0.5848183333333333,1.936288154128438E7,
192,235.91285705566406,0.705095,1.5953969639935935E7,
229,291.16302490234375,0.9335283333333333,1.4091863067890624E7,
25,112.08688354492188,0.9335283333333333,1.517500851781719E7,
26,113.10726928710938,0.941485,1.277409776709218E7,
219,274.2737121582031,0.7800916666666667,1.1668824383811718E7,
40,122.0680923461914,0.941485,1.1486680464507816E7,
250,339.3449401855469,0.97827,9330724.646732032,
109,163.13279724121094,0.7307849999999999,8870138.032746095,
85,149.01345825195312,0.67287,9545627.96631328,
61,139.12294006347656,0.9335283333333333,8102105.377015623,
30,115.12297058105469,0.9120683333333334,7831436.1119890595,
247,337.1867370605469,0.9047833333333333,8210229.187179688,
99,158.12876892089844,0.8852783333333334,6772234.781311718,
112,166.12261962890625,0.7953366666666667,7018300.595578126,
79,145.98545837402344,0.91934,6503053.252317968,
114,167.15426635742188,0.941485,6719782.721347656,
89,151.09649658203125,0.7953366666666667,6778631.557143751,
8,95.06033325195312,0.97827,5001389.267957812,
48,132.1018829345703,0.7741766666666667,5694834.771331248,
191,234.9176788330078,0.9474166666666667,4951846.7037480455,
199,244.1905517578125,0.7668716666666667,5445877.451935938,
28,114.09133911132812,0.8280783333333334,5670912.057475778,
268,383.3992004394531,0.6428166666666667,4920214.550281642,
184,226.18002319335938,0.8280783333333334,5343740.139792187,
139,184.91995239257812,0.91934,4856506.129729687,
107,160.9013214111328,0.51646,4378213.471984767,
15,103.95529174804688,0.9047833333333333,4502544.904159766,
88,151.01162719726562,0.5238216666666667,4342841.200503515,
277,431.3840026855469,0.5397616666666667,4537467.724549216,
60,139.01785278320312,0.7953366666666667,4339365.423942577,
128,178.10546875,0.705095,3790504.093191406,
204,250.8914794921875,0.9474166666666667,3993841.0989937508,
271,391.28387451171875,0.7609933333333333,4120160.521553907,
11,100.07563781738281,0.5519883333333334,4012371.479047655,
86,149.0709686279297,0.8852783333333334,3846963.7031777343,
80,146.0811309814453,0.9916416666666666,3743181.4958531237,
169,212.0953826904297,0.7880466666666667,3313109.374446094,
256,353.1816711425781,0.5238216666666667,3351573.619486328,
193,237.91102600097656,0.9474166666666667,3474185.743676952,
21,111.0916519165039,0.686785,3195452.4752578116,
50,132.1494903564453,0.941485,3499316.127354297,
209,254.16087341308594,0.705095,3319907.4769746084,
150,195.12269592285156,0.9474166666666667,2637724.4529027347,
46,130.09747314453125,0.8157016666666668,3090911.539451954,
113,167.08145141601562,0.5238216666666667,2774549.0823457036,
170,213.12327575683594,0.5095933333333333,2348396.8050023434,
120,170.11746215820312,0.5238216666666667,2656134.3441281253,
202,246.24253845214844,0.9827283333333334,1983032.0635525389,
44,127.08653259277344,0.5051366666666667,2533734.613563867,
