row ID,row m/z,row retention time,Beer_multibeers_2_T10_POS.mzML filtered Peak area,Beer_multibeers_5_T10_POS.mzML filtered Peak area,
1,104.10697174072266,0.54914,6.414068695029372E7,0,
2,126.05496215820312,0.5389533333333334,1.19891159371975E8,0,
3,338.3414764404297,0.7970766666666667,7.607002236164999E7,6.93584856233625E7,
4,118.08624267578125,0.6964450000000001,2.5289826500068754E7,0,
5,144.06556701660156,0.587635,2.4178802153828125E7,0,
6,274.27378845214844,0.8044899999999999,1.1818682793229684E7,9050144.883570312,
7,125.07097625732422,0.530945,1.3090210388834381E7,0,
8,158.12879943847656,0.8319766666666667,1.005170134319062E7,797261.9880000491,
9,163.13282775878906,0.7020241666666667,9709668.515231248,6077966.687673437,
10,136.1121368408203,0.6579433333333333,9326371.818366405,0,
11,127.05829620361328,0.6964450000000001,7709906.670214844,0,
12,391.2839660644531,0.5328733333333333,6165800.291835936,4245117.156361329,
13,102.12773132324219,0.9709233333333334,6443933.411259376,0,
14,114.09135818481445,0.8707075,6300711.4604445305,5270338.914485157,
15,244.1906280517578,0.9555733333333334,6267073.284009375,0,
16,86.09638977050781,0.9584758333333334,5187962.875482032,1818094.2154066407,
17,127.0389633178711,0.587635,5301068.795987501,0,
18,154.11370849609375,0.9535024999999999,4381546.623747658,796189.7564605956,
19,181.1334991455078,0.9614066666666666,5045003.232539061,0,
20,152.15655517578125,0.9736625,3963586.5774246086,717198.0235372557,
21,173.09213256835938,0.8977316666666667,5343868.649776563,0,
22,100.07566833496094,0.5133433333333334,4937482.539470701,0,
23,234.91770935058594,0.9570350000000001,4326562.818284767,3381572.599153906,
24,180.08670043945312,0.5389533333333334,3869376.673944532,0,
25,310.3102722167969,0.7970766666666667,3322550.8330015624,3043508.539949413,
26,144.92747497558594,0.9812316666666666,3761432.2435124996,0,
27,215.1026382446289,0.6161700000000001,4228150.059754686,3273499.8662124993,
28,105.04232025146484,0.7276483333333333,2548247.6439650394,636313.7947987306,
29,336.3258514404297,0.7164775,3172177.3530464843,2756925.1269738274,
30,212.09539031982422,0.5074875000000001,3931254.4704710953,3106218.986666406,
31,239.13890838623047,0.5288875,3728274.5168375,2846394.3053160165,
32,291.6648864746094,0.9435783333333333,3228757.0594294933,0,
33,117.07394409179688,0.52299,3757756.6188039067,0,
34,132.10189819335938,0.9522766666666667,3841109.981521874,4176847.9078960936,
35,149.02330017089844,0.6754941666666667,3316201.368467968,3136155.6594250016,
36,199.1077423095703,0.587635,3311007.5993792964,0,
37,170.11749267578125,0.9925083333333333,3156250.83689961,0,
38,163.07945251464844,0.772765,2993699.466124218,0,
39,209.0921173095703,0.9435783333333333,3129390.799072657,0,
40,127.0865707397461,0.530945,2978039.3943300797,0,
41,414.3211364746094,0.8506908333333334,3088563.3933023447,2197512.1772460938,
42,458.3473815917969,0.6964450000000001,3021232.8667031247,0,
43,139.05014038085938,0.9324250000000001,2879767.965653124,0,
44,213.12332153320312,0.857995,3070645.38138711,1990963.1075605478,
45,96.04435348510742,0.7845883333333334,2980018.554107031,1986338.0884726564,
46,306.1685028076172,0.8473175,2524854.9803562495,1789424.0170520514,
47,130.0498504638672,0.6261008333333333,2232531.7618064447,1160383.83106123,
48,229.19895935058594,0.5695416666666666,2775431.7562275385,0,
49,140.0706787109375,0.8090733333333334,2565386.257689648,0,
50,237.9111328125,0.7495200000000001,2555755.998463672,0,
